country,iso3c,year,Pillar 1  - Data Use - Score,Pillar 2 - Data Services - Score,Pillar 3 - Data Products - Score,Pillar 4 - Data Sources - Score,Pillar 5 - Data Infrastructure - Score,SPI Overall Score,Dimension 1.5: Data use by international organizations,Dimension 2.1: Data Releases,Dimension 2.2: Online access,Dimension 2.4: Data services,Dimension 3.1: Social Statistics,Dimension 3.2: Economic Statistics,Dimension 3.3: Environmental Statistics,Dimension 3.4: Institutional Statistics,Dimension 4.1: Censuses,Dimension 4.1: Surveys,Dimension 4.2: Administrative Data,Dimension 4.3: Geospatial Data,Dimension 5.1: Legislation and governance,Dimension 5.2: Standards and Methods,Dimension 5.5: Finance,Dimension 1.5: Data use by international organisations - Availability of Comparable Poverty headcount ratio at $2.15 a day,"Dimension 1.5: Data use by international organisations - Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME",Dimension 1.5: Data use by international organisations - Quality of Debt service data according to World Bank,Dimension 1.5: Data use by international organisations - Safely Managed Drinking Water,Dimension 1.5: Data use by international organisations - Labor force participation rate by sex and age (%),Dimension 2.1: Data releases - SDDS/e-GDDS subscription,Dimension 2.2: Online access - Machine Readability Score,Dimension 2.2: Online access - Non-Proprietary format Score,Dimension 2.2: Online access - Download Options Score,Dimension 2.2: Online access - Metadata Available Score,Dimension 2.2: Online access - Terms of Use Score,Dimension 2.2: Online access - ODIN Open Data Openness score,Dimension 2.4: Data access services - NADA metadata,Dimension 3.1: SDG Goal 1 - GOAL 1: No Poverty,Dimension 3.2: SDG Goal 2 - GOAL 2: Zero Hunger,Dimension 3.3: SDG Goal 3 - GOAL 3: Good Health and Well-being,Dimension 3.4: SDG Goal 4 - GOAL 4: Quality Education,Dimension 3.5: SDG Goal 5 - GOAL 5: Gender Equality,Dimension 3.6: SDG Goal 6 - GOAL 6: Clean Water and Sanitation,Dimension 3.7: SDG Goal 7 - GOAL 7: Affordable and Clean Energy,Dimension 3.8: SDG Goal 8 - GOAL 8: Decent Work and Economic Growth,"Dimension 3.9: SDG Goal 9 - GOAL 9: Industry, Innovation and Infrastructure",Dimension 3.10: SDG Goal 10 - GOAL 10: Reduced Inequality,Dimension 3.11: SDG Goal 11 - GOAL 11: Sustainable Cities and Communities,Dimension 3.12: SDG Goal 12 - GOAL 12: Responsible Consumption and Production,Dimension 3.13: SDG Goal 13 - GOAL 13: Climate Action,Dimension 3.15: SDG Goal 15 - GOAL 15: Life on Land,Dimension 3.16: SDG Goal 16 - GOAL 16: Peace and Justice Strong Institutions,Dimension 3.17: SDG Goal 17 - GOAL 17: Partnerships to achieve the Goal,Dimension 4.1: censuses and surveys - Population & Housing census,Dimension 4.1: censuses and surveys - Agriculture census,Dimension 4.1: censuses and surveys - Business/establishment census,"Dimension 4.1: censuses and surveys - Household Survey on income, etc",Dimension 4.1: censuses and surveys - Agriculture survey,Dimension 4.1: censuses and surveys - Labor Force Survey,Dimension 4.1: censuses and surveys - Health/Demographic survey,Dimension 4.1: censuses and surveys - Business/establishment survey,Dimension 4.2: administrative data - CRVS (WDI),Dimension 4.3: geospatial data - Geospatial data available at 1st Admin Level,Dimension 5.1: Legislation and governance - Legislation Indicator based on PARIS21 indicators on SDG 17.18.2,Dimension 5.2: standards - System of national accounts in use,Dimension 5.2: standards - National Accounts base year,Dimension 5.2: standards - Classification of national industry,Dimension 5.2: standards - CPI base year,Dimension 5.2: standards - Classification of household consumption,Dimension 5.2: standards - Classification of status of employment,Dimension 5.2: standards - Central government accounting status,Dimension 5.2: standards - Compilation of government finance statistics,Dimension 5.2: standards - Compilation of monetary and financial statistics,Dimension 5.2: standards - Business process,Dimension 5.5: Finance - Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1,income,region,weights,population
American Samoa,ASM,2020,40,,19.0375,,,,0.4,0,,,0.0915,0.226333333,0.375,0.1945,,,1,,-99,,-99,1,0,0,1,0,0,,,,,,,,0,0,0.091,0,0.125,0.333,0.6,0,0.222,0.143,0.143,0.25,0,0.75,0.111,0.278,1,0.5,,,,,,,1,,,1,0,,,,,,,,,,Upper middle income,East Asia & Pacific,1,55197
Andorra,AND,2020,80,,34.25,,10,,0.8,0,,0,0.284,0.360833333,0.389,0.4165,0.333333333,0.4,1,,1,0.1,1,1,1,1,1,0,0,,,,,,,0,0.143,0.143,0.429,0.364,0.125,0.5,0.8,0.071,0.222,0.286,0.286,0.5,0,0.778,0.444,0.389,1,0,0,1,0,1,0,0,1,,1,0.5,0.5,0,0,0,0,0,0,0,0,1,High income,Europe & Central Asia,1,77265
Aruba,ABW,2020,60,,21.31875,,,,0.6,0.5,,,0.1085,0.2725,0.3125,0.25,,,1,,-99,,-99,1,0,1,1,0,0.5,,,,,,,,0.143,0.25,0.091,0,0,0.167,0.8,0.077,0.222,0.143,0.143,0.25,0,0.625,0,0.5,1,0,,,,0.33,,,1,,,0.5,0,,,,,,,,,,High income,Latin America & Caribbean,1,106766
Barbados,BRB,2020,100,,57.4,,35,,1,0.5,,1,0.502333333,0.590833333,0.8125,0.5,0.333333333,0.2,1,,1,0.35,0,1,1,1,1,1,0.5,,,,,,,1,0.571,0.4,0.762,0.364,0.25,0.667,1,0.462,0.333,0.286,0.714,0.75,1,0.625,0.444,0.556,1,0,0,0,0,0.33,0.67,0,1,,1,0.5,0.5,0.5,0,0,0,0.5,0.5,1,0,0,High income,Latin America & Caribbean,1,287371
Bermuda,BMU,2020,60,,24.9875,,,,0.6,0,,,0.163833333,0.268666667,0.3125,0.389,,,1,,-99,,-99,1,0,1,1,0,0,,,,,,,,0.143,0.143,0.091,0.273,0,0.333,0.6,0.143,0.333,0.143,0.143,0.25,0,0.625,0.222,0.556,1,0,,,,0.33,,,1,,,0.5,0,,,,,,,,,,High income,North America,1,63903
British Virgin Islands,VGB,2020,60,,26.08125,,,,0.6,0,,,0.192166667,0.325166667,0.3125,0.222,,,1,,0,,-99,1,0,1,1,0,0,,,,,,,,0.143,0.143,0.045,0.364,0.125,0.333,0.8,0.143,0.222,0.143,0.143,0.5,0,0.625,0,0.444,1,0,,,,,0.33,,1,,0,0,0,,,,,,,,,,High income,Latin America & Caribbean,1,30237
Cayman Islands,CYM,2020,70,,24.25,,,,0.7,0,,,0.169166667,0.2715,0.3125,0.3055,,,1,,0,,1,1,0,1,0.5,1,0,,,,,,,,0.143,0.25,0.091,0.364,0,0.167,0.8,0.071,0.222,0.143,0.143,0.25,0,0.625,0.111,0.5,1,0,,,,0.33,0,,1,,0,0.5,0.5,,,,,,,,,1,High income,Latin America & Caribbean,1,65720
Central African Republic,CAF,2020,30,,57.2,,20,,0.3,0.5,,1,0.6305,0.533666667,0.5,0.5835,0.166666667,0.2,0,,1,0.2,0,0,0,1,0.5,0,0.5,,,,,,,1,0.286,0.875,0.667,0.455,0.5,1,1,0.357,0.333,0.429,0.333,0.75,0,1,0.556,0.611,0.5,0,0,0.33,0,0,0.67,0,0,,1,0.5,0,0.5,0,0,0,0,0,1,0,0,Low income,Sub-Saharan Africa,1,4829764
Channel Islands,CHI,2020,60,,,,,,0.6,0,,,,,,,,,,,-99,,-99,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,0,0,,,,,,,,,,High income,Europe & Central Asia,1,173859
Comoros,COM,2020,60,,61.21875,,30,,0.6,0.5,,0,0.536666667,0.586666667,1,0.5275,0.333333333,0.4,0,,0,0.3,0,0,0,1,1,1,0.5,,,,,,,0,0.571,0.444,0.667,0.455,0.25,0.833,0.867,0.308,0.333,0.429,0.833,0.75,1,1,0.222,0.833,1,0,0,1,0,0.33,0.67,0,0,,0,1,0,0,0,1,0,0,0,1,0,0,Lower middle income,Sub-Saharan Africa,1,869595
Cuba,CUB,2020,60,,67.43125,,,,0.6,0,0.446,,0.721333333,0.623,0.75,0.6115,,,1,0.396,-99,,-99,1,1,0,1,0,0,0.345,0.933,0.05,0.9,0,0.446,,0.571,0.667,0.905,0.727,0.625,0.833,0.8,0.286,0.556,0.429,0.667,1,0.5,1,0.667,0.556,1,0,,,,,0.67,,1,0.396,,0.5,0,,,,,,,,,,Upper middle income,Latin America & Caribbean,1,11326616
Curacao,CUW,2020,80,,26.6875,,,,0.8,0,,,0.1475,0.386,0.3125,0.222,,,1,,0,,1,1,0,1,1,1,0,,,,,,,,0.143,0.143,0.091,0.091,0.25,0.167,0.8,0.286,0.444,0.143,0.143,0.5,0,0.625,0,0.444,1,0,,,,,,,1,,0,0.5,0,,,,,,,,,1,High income,Latin America & Caribbean,1,154947
Eritrea,ERI,2020,16.6,,45.08125,,15,,0.166,0,,0,0.426166667,0.498333333,0.5,0.333,0,0,0,,-99,0.15,-99,0,0,0.33,0.5,0,0,,,,,,,0,0.143,0.5,0.667,0.455,0.125,0.667,0.867,0.214,0.444,0.429,0.286,0.75,0,1,0.222,0.444,0,0,0,0,0,0,0,0,0,,,0,0.5,0,0,0,0,0,0,1,0,,Low income,Sub-Saharan Africa,1,3620312
Faroe Islands,FRO,2020,60,,15.13125,,,,0.6,0,,,0.031333333,0.184666667,0.3125,0.25,,,1,,1,,1,1,0,1,1,0,0,,,,,,,,0,0.143,0.045,0,0,0,0.6,0,0.222,0.143,0.143,0,0,0.625,0.111,0.389,1,0,,,,,,,1,,1,0.5,0,,,,,,,,,1,High income,Europe & Central Asia,1,48865
French Polynesia,PYF,2020,60,,22.20625,,,,0.6,0,,,0.112333333,0.2715,0.375,0.25,,,1,,-99,,-99,1,0,1,1,0,0,,,,,,,,0,0.25,0.091,0,0,0.333,0.8,0.071,0.222,0.143,0.143,0.25,0,0.75,0,0.5,1,0,,,,,,,1,,,0.5,0,,,,,,,,,,High income,East Asia & Pacific,1,280904
Gibraltar,GIB,2020,60,,20.06875,,,,0.6,0,,,0.123666667,0.203166667,0.375,0.25,,,1,,-99,,-99,1,0,1,1,0,0,,,,,,,,0,0,0.045,0.364,0,0.333,0.6,0,0.333,0.143,0.143,0,0,0.75,0.111,0.389,1,0,,,,,,,1,,,0,0,,,,,,,,,,High income,Europe & Central Asia,1,33691
Greenland,GRL,2020,60,,19.39375,,,,0.6,0,0.578,,0.112333333,0.1965,0.375,0.25,,,1,0.247,-99,,-99,1,0,1,0.5,0.5,0,0.638,0.638,0.571,0.402,0.638,0.578,,0,0.25,0.091,0,0,0.333,0.6,0.071,0.222,0.143,0.143,0,0,0.75,0.111,0.389,1,0,,,,,,,1,0.247,,1,0,,,,,,,,,,High income,Europe & Central Asia,1,56367
Grenada,GRD,2020,70,,55.95625,,20,,0.7,0.5,,0,0.530166667,0.508166667,0.75,0.6115,0.666666667,0.266,1,,1,0.2,-99,0,1,1,0.5,1,0.5,,,,,,,0,0.429,0.375,0.714,0.455,0.375,0.833,0.8,0.308,0.333,0.429,0.429,0.75,0.5,1,0.556,0.667,1,1,0,0.67,0,0.33,0.33,0,1,,1,0.5,0,0.5,0,0,0,0,0,1,0,,Upper middle income,Latin America & Caribbean,1,112519
Guam,GUM,2020,60,,21.1875,,,,0.6,0,,,0.115333333,0.2715,0.3125,0.222,,,1,,-99,,-99,1,0,1,1,0,0,,,,,,,,0,0.143,0.091,0,0.125,0.333,0.8,0.071,0.222,0.143,0.143,0.25,0,0.625,0.111,0.333,1,0.5,,,,,,,1,,,0.5,0,,,,,,,,,,High income,East Asia & Pacific,1,168783
"Hong Kong SAR, China",HKG,2020,80,,31.0625,,,,0.8,1,0.819,,0.234,0.302666667,0.375,0.5,,,1,0.693,1,,1,1,0,1,1,1,1,0.917,0.983,0.562,0.667,0.967,0.819,,0.143,0.375,0.091,0.545,0.25,0,0.6,0.231,0.556,0.286,0.143,0,0,0.75,0.444,0.556,1,0,,,,,,,1,0.693,1,1,1,,0,1,,1,,1,,1,High income,East Asia & Pacific,1,7481800
Isle of Man,IMN,2020,70,,11.7,,,,0.7,0,,,0.051666667,0.142333333,0.1875,0.1665,,,1,,-99,,-99,1,0,1,1,0.5,0,,,,,,,,0.143,0,0,0,0,0.167,0.6,0,0.111,0,0.143,0,0,0.375,0.111,0.222,1,0,,,,,,,1,,,1,1,,,,,,,,,,High income,Europe & Central Asia,1,85032
"Korea, Dem. People's Rep.",PRK,2020,30,,50.675,,,,0.3,0,,,0.533833333,0.521333333,0.5,0.3885,,,0,,0,,-99,1,0,0,0.5,0,0,,,,,,,,0,0.875,0.714,0.364,0.25,1,0.933,0.286,0.444,0.429,0.286,0.75,0,1,0.333,0.444,1,0,,,,,,,0,,0,0,0,,,,,,,,,,Low income,East Asia & Pacific,1,25778815
Kosovo,XKX,2020,40,67.96666667,,,60,,0.4,0.5,0.539,1,,,,,0.666666667,1,,0.312,-99,0.6,-99,1,0,1,0,0,0.5,0.486,0.952,0.529,0.476,0.25,0.539,1,,,,,,,,,,,,,,,,,1,1,0,1,1,1,1,1,,0.312,,0.5,1,1,0.5,1,0,0,1,1,0,,Upper middle income,Europe & Central Asia,1,1790133
Liechtenstein,LIE,2020,70,,31.34375,,,,0.7,0,0.515,,0.221166667,0.3275,0.389,0.4725,,,1,0.449,1,,1,1,0,1,1,0.5,0,0.671,0.695,0.376,0.44,0.393,0.515,,0.143,0.286,0.091,0.182,0.125,0.5,0.6,0.071,0.222,0.429,0.143,0.5,0,0.778,0.556,0.389,1,0,,,,,,,1,0.449,1,0,0,,,,,,,,,1,High income,Europe & Central Asia,1,38137
"Macao SAR, China",MAC,2020,80,,29.41875,,,,0.8,0.5,0.486,,0.2115,0.320666667,0.3125,0.4445,,,1,0.462,1,,1,1,0,1,1,1,0.5,0.683,0.8,0.24,0.4,0.305,0.486,,0.143,0.286,0.045,0.545,0.25,0,0.6,0.154,0.444,0.333,0.143,0.25,0,0.625,0.333,0.556,1,0,,,,,,,1,0.462,1,1,1,,,,,,,,,1,High income,East Asia & Pacific,1,649342
Monaco,MCO,2020,90,,29.6125,,,,0.9,0,,,0.241,0.2525,0.5,0.3885,,,1,,-99,,-99,1,1,1,1,0.5,0,,,,,,,,0.143,0.167,0.238,0.273,0.125,0.5,0.4,0.071,0.222,0.143,0.429,0.25,0.5,0.5,0.333,0.444,1,0,,,,,,,1,,,0,0.5,,,,,,,,,,High income,Europe & Central Asia,1,39244
Nauru,NRU,2020,40,,46.39375,,5,,0.4,0,,1,0.415333333,0.472333333,0.6875,0.361,0.333333333,0.066,1,,1,0.05,0,0,0,1,1,0,0,,,,,,,1,0.429,0.429,0.429,0.455,0.25,0.5,1,0.143,0.333,0.429,0.429,0.5,0.5,0.875,0.222,0.5,1,0,0,0.33,0,0,0,0,1,,1,0.5,0,0,0,0,0,0,0,0,0,0,High income,East Asia & Pacific,1,10834
New Caledonia,NCL,2020,70,,23.0125,,,,0.7,0,,,0.170833333,0.253,0.375,0.1945,,,1,,1,,-99,1,0,1,1,0.5,0,,,,,,,,0.143,0.333,0.091,0,0.125,0.333,0.8,0.071,0.111,0.143,0.143,0.25,0,0.75,0,0.389,1,0,,,,,,,1,,1,0.5,0,,,,,,,,,,High income,East Asia & Pacific,1,271960
Northern Mariana Islands,MNP,2020,60,,16.14375,,,,0.6,0,,,0.083833333,0.184666667,0.375,0.111,,,1,,1,,0,1,0,1,1,0,0,,,,,,,,0,0,0.045,0,0.125,0.333,0.6,0,0.222,0.143,0.143,0,0,0.75,0,0.222,1,0.5,,,,,,,1,,1,0,0,,,,,,,,,0,High income,East Asia & Pacific,1,57557
Puerto Rico,PRI,2020,80,,28.49375,,,,0.8,0,,,0.231,0.2835,0.375,0.361,,,1,,1,,1,1,0,1,1,1,0,,,,,,,,0.143,0.375,0.095,0.273,0,0.5,0.8,0.143,0.222,0.143,0.143,0.25,0,0.75,0.333,0.389,1,1,,,,,,,1,,1,0,0,,,,,,,,,1,High income,Latin America & Caribbean,1,3281538
San Marino,SMR,2020,90,58,28.34375,,60,,0.9,0.5,0.24,1,0.285833333,0.284833333,0.278,0.2775,,,1,0.28,-99,0.6,-99,1,1,1,1,0.5,0.5,0.238,0.486,0.162,0.314,0,0.24,1,0.143,0.25,0.333,0.364,0.125,0.5,0.4,0.154,0.333,0.286,0.286,0.25,0,0.556,0.222,0.333,1,0,,,,,,,1,0.28,,0.5,0,0.5,0.5,1,1,1,0.5,1,0,,High income,Europe & Central Asia,1,33938
Sint Maarten (Dutch part),SXM,2020,50,,16.46875,,,,0.5,0,,,0.083,0.1965,0.3125,0.1665,,,1,,-99,,-99,1,0,1,0.5,0,0,,,,,,,,0.143,0.143,0.045,0,0,0.167,0.6,0.071,0.222,0.143,0.143,0,0,0.625,0,0.333,0,0,,,,,,,1,,,0,0.5,,,,,,,,,,High income,Latin America & Caribbean,1,42310
St. Martin (French part),MAF,2020,40,,13.91875,,,,0.4,0,,,0.079333333,0.150666667,0.3125,0.111,,,1,,-99,,-99,1,0,1,0,0,0,,,,,,,,0.143,0,0,0,0,0.333,0.4,0,0.111,0,0.143,0.25,0,0.625,0,0.222,1,0,,,,,,,1,,,0,0,,,,,,,,,,High income,Latin America & Caribbean,1,38659
"Taiwan, China",TWN,2020,60,,,,,,0.6,0,0.68,,,,,,,,,0.211,-99,,-99,1,0,1,0,1,0,0.85,0.843,0.457,0.467,0.783,0.68,,,,,,,,,,,,,,,,,,0,0,,,,0.33,,,,0.211,,1,1,,0,0,,,,0,,,High income,East Asia & Pacific,1,
Turks and Caicos Islands,TCA,2020,60,,22.19375,,,,0.6,0,,,0.151333333,0.2715,0.3125,0.1945,,,1,,-99,,-99,1,0,1,1,0,0,,,,,,,,0.143,0.143,0.091,0.364,0,0.167,0.8,0.071,0.222,0.143,0.143,0.25,0,0.625,0,0.389,1,0,,,,,,,1,,,0.5,0.5,,,,,,,,,,High income,Latin America & Caribbean,1,38718
Tuvalu,TUV,2020,40,,54.775,,5,,0.4,0.5,,1,0.523166667,0.516166667,0.875,0.389,0.333333333,0.2,0,,-99,0.05,-99,0,1,0,0.5,0.5,0.5,,,,,,,1,0.571,0.429,0.476,0.455,0.375,0.833,0.867,0.286,0.444,0.429,0.571,0.5,1,0.75,0.222,0.556,1,0,0,0.67,0,0,0.33,0,0,,,0,0,0,0.5,0,0,0,0,0,0,,Upper middle income,East Asia & Pacific,1,11792
Virgin Islands (U.S.),VIR,2020,60,,18.7,,,,0.6,0,,,0.079333333,0.259666667,0.3125,0.1665,,,1,,-99,,-99,1,0,1,1,0,0,,,,,,,,0.143,0,0,0,0,0.333,0.8,0,0.222,0.143,0.143,0.25,0,0.625,0,0.333,1,1,,,,,,,1,,,1,0,,,,,,,,,,High income,Latin America & Caribbean,1,106290
Norway,NOR,2019,100,92.23333333,77.56875,80.66666667,100,90.09375,1,1,0.767,1,0.757833333,0.782166667,1,0.5855,0.666666667,1,1,0.56,1,1,1,1,1,1,1,1,1,1,1,0.623,0.67,0.542,0.767,1,1,0.889,0.905,0.545,0.375,0.833,0.8,0.643,1,0.5,1,0.75,1,1,0.556,0.615,1,1,0,1,1,1,1,1,1,0.56,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,5347896
Italy,ITA,2019,100,91.86666667,75.2875,82.175,100,89.86583333,1,1,0.756,1,0.711166667,0.787166667,1,0.528,1,0.934,1,0.353,1,1,1,1,1,1,1,1,1,0.771,0.786,0.69,0.762,0.771,0.756,1,0.857,0.8,0.857,0.545,0.375,0.833,0.8,0.769,1,0.571,0.833,0.75,1,1,0.556,0.5,1,1,1,1,1,1,0.67,1,1,0.353,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,60297396
Austria,AUT,2019,100,91.3,74.55,79.75,100,89.12,1,1,0.739,1,0.721666667,0.750666667,1,0.547,1,0.866,1,0.324,1,1,1,1,1,1,1,1,1,0.907,0.963,0.686,0.703,0.434,0.739,1,1,0.6,0.9,0.455,0.375,1,0.8,0.692,1,0.429,0.833,0.75,1,1,0.556,0.538,1,1,1,1,1,1,0.33,1,1,0.324,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,8877067
Poland,POL,2019,100,95.1,70.5375,79.71666667,100,89.07083333,1,1,0.853,1,0.678666667,0.7515,0.75,0.6025,0.666666667,0.934,1,0.588,1,1,1,1,1,1,1,1,1,1,1,0.68,0.679,0.905,0.853,1,0.714,0.7,0.905,0.545,0.375,0.833,0.8,0.692,1,0.667,0.6,0.75,0.5,1,0.667,0.538,1,1,0,1,1,1,0.67,1,1,0.588,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,37970874
Slovenia,SVN,2019,100,96.93333333,76.28125,71.44166667,100,88.93125,1,1,0.908,1,0.7335,0.791333333,1,0.528,0.666666667,0.934,1,0.257,1,1,1,1,1,1,1,1,1,0.963,1,0.784,0.897,0.897,0.908,1,1,0.7,0.857,0.636,0.375,0.833,0.8,0.769,1,0.429,1,0.75,1,1,0.556,0.5,1,1,0,1,1,1,0.67,1,1,0.257,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,2087946
United States,USA,2019,100,94,63.11875,87.5,100,88.92375,1,1,0.82,1,0.593,0.604833333,0.9445,0.5115,1,1,1,0.5,1,1,1,1,1,1,1,1,1,0.83,0.952,0.566,0.797,0.952,0.82,1,0.857,0.7,0.762,0.364,0.375,0.5,0.6,0.571,0.625,0.5,0.833,0.5,1,0.889,0.556,0.467,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,High income,North America,1,328239523
Spain,ESP,2019,100,90.86666667,75.5375,77.86666667,100,88.85416667,1,1,0.726,1,0.6945,0.804166667,1,0.547,0.666666667,1,1,0.448,1,1,1,1,1,1,1,1,1,0.802,0.981,0.629,0.777,0.439,0.726,1,0.857,0.7,0.857,0.545,0.375,0.833,0.8,0.846,1,0.429,1,0.75,1,1,0.556,0.538,1,1,0,1,1,1,1,1,1,0.448,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,47076781
Sweden,SWE,2019,100,94.86666667,75.2375,72.51666667,100,88.52416667,1,1,0.846,1,0.712166667,0.7785,1,0.547,0.666666667,0.8,1,0.434,1,1,1,1,1,1,1,1,1,0.878,0.926,0.728,0.822,0.874,0.846,1,1,0.8,0.81,0.455,0.375,0.833,0.8,0.692,1,0.429,1,0.75,1,1,0.556,0.538,1,1,0,1,0.67,1,0.33,1,1,0.434,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,10285453
Finland,FIN,2019,100,94.93333333,75.2375,72.36666667,100,88.5075,1,1,0.848,1,0.7035,0.787166667,1,0.547,0.666666667,0.8,1,0.428,1,1,1,1,1,1,1,1,1,0.859,0.963,0.689,0.897,0.834,0.848,1,1,0.7,0.857,0.545,0.286,0.833,0.8,0.769,1,0.571,0.833,0.75,1,1,0.556,0.538,1,1,0,1,0.67,1,0.33,1,1,0.428,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,5520314
"Korea, Rep.",KOR,2019,100,93.4,75.61875,82.4,90,88.28375,1,1,0.802,1,0.691666667,0.8175,1,0.522,1,1,1,0.296,1,0.9,1,1,1,1,1,1,1,0.874,0.926,0.804,0.481,0.926,0.802,1,0.857,0.8,0.952,0.455,0.286,0.8,1,0.571,1,0.667,0.667,1,1,1,0.444,0.6,1,1,1,1,1,1,1,1,1,0.296,1,1,0.5,1,0.5,1,1,1,1,1,1,1,High income,East Asia & Pacific,1,51709098
Netherlands,NLD,2019,100,98.5,71.3625,71.46666667,100,88.26583333,1,1,0.955,1,0.736,0.7595,0.6945,0.528,0.666666667,0.8,1,0.392,1,1,1,1,1,1,1,1,1,1,1,0.775,1,1,0.955,1,0.714,0.8,0.857,0.545,0.5,1,0.8,0.769,1,0.571,0.667,0.75,0.5,0.889,0.556,0.5,1,1,0,1,0,1,1,1,1,0.392,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,17332850
Australia,AUS,2019,100,92.66666667,74.075,74.46666667,100,88.24166667,1,1,0.78,1,0.699666667,0.7545,1,0.5635,0.666666667,1,1,0.312,1,1,1,1,1,1,1,1,1,0.963,0.411,0.599,0.976,0.952,0.78,1,0.857,0.778,0.9,0.455,0.375,0.833,0.8,0.769,0.875,0.5,0.833,0.75,1,1,0.556,0.571,1,1,0,1,1,1,1,1,1,0.312,1,1,1,1,1,1,1,1,1,1,1,1,High income,East Asia & Pacific,1,25364307
Mexico,MEX,2019,100,92.93333333,89.31875,80.28333333,75,87.50708333,1,1,0.788,1,0.907166667,0.8835,1,0.7735,0.833333333,0.934,1,0.444,1,0.75,1,1,1,1,1,1,1,0.963,0.83,0.841,0.826,0.481,0.788,1,1,1,1,0.818,0.625,1,1,0.923,0.778,0.6,1,1,1,1,0.778,0.769,1,0.5,1,1,1,1,0.67,1,1,0.444,1,1,0.5,1,0.5,1,1,0.5,0,1,1,1,Upper middle income,Latin America & Caribbean,1,127575529
Germany,DEU,2019,100,96.46666667,71.10625,74.91666667,95,87.49791667,1,1,0.894,1,0.6965,0.748833333,0.75,0.6025,0.666666667,0.934,1,0.396,1,0.95,1,1,1,1,1,1,1,1,1,0.651,0.821,1,0.894,1,0.714,0.8,0.857,0.6,0.375,0.833,0.8,0.714,1,0.429,0.8,0.75,0.5,1,0.667,0.538,1,1,0,1,1,1,0.67,1,1,0.396,1,1,1,1,0.5,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,83132799
Canada,CAN,2019,100,93.2,60.0125,84.11666667,100,87.46583333,1,1,0.796,1,0.568333333,0.6775,0.5,0.5635,0.666666667,1,1,0.698,1,1,1,1,1,1,1,1,1,0.915,0.967,0.651,0.967,0.481,0.796,1,0.429,0.8,0.9,0.364,0.25,0.667,0.8,0.615,1,0.5,0.4,0.75,0,1,0.556,0.571,1,1,0,1,1,1,1,1,1,0.698,1,1,1,1,1,1,1,1,1,1,1,1,High income,North America,1,37589262
Ireland,IRL,2019,100,94.73333333,74.1125,66.34166667,100,87.0375,1,1,0.842,1,0.699166667,0.7615,1,0.547,0.666666667,0.866,1,0.121,1,1,1,1,1,1,1,1,1,0.963,0.963,0.798,0.524,0.963,0.842,1,1,0.8,0.857,0.455,0.25,0.833,0.8,0.615,1,0.571,0.833,0.75,1,1,0.556,0.538,1,1,0,1,1,1,0.33,1,1,0.121,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,4941444
Switzerland,CHE,2019,100,87.66666667,76.55,80.85833333,90,87.015,1,1,0.63,1,0.739166667,0.7625,1,0.619,0.833333333,1,1,0.401,1,0.9,1,1,1,1,1,1,1,0.981,0.644,0.699,0.804,0.019,0.63,1,1,0.7,0.857,0.545,0.5,0.833,0.8,0.692,1,0.5,0.833,0.75,1,1,0.667,0.571,1,1,0.5,1,1,1,1,1,1,0.401,1,1,1,1,1,1,1,1,1,0,1,1,High income,Europe & Central Asia,1,8574832
France,FRA,2019,100,90.8,74.3,67.71666667,100,86.56333333,1,1,0.724,1,0.721333333,0.750666667,1,0.528,0.666666667,0.934,1,0.108,1,1,1,1,1,1,1,1,1,0.708,0.614,0.472,0.858,0.967,0.724,1,1,0.8,0.9,0.545,0.25,0.833,0.8,0.692,1,0.429,0.833,0.75,1,1,0.556,0.5,1,1,0,1,1,1,0.67,1,1,0.108,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,67059887
Denmark,DNK,2019,90,98.7,68.01875,75.99166667,100,86.54208333,0.9,1,0.961,1,0.6945,0.711833333,0.6945,0.528,0.666666667,0.866,1,0.507,1,1,1,1,1,1,0.5,1,1,1,1,0.803,1,1,0.961,1,0.714,0.8,0.9,0.545,0.375,0.833,0.8,0.692,1,0.429,0.6,0.75,0.5,0.889,0.556,0.5,1,1,0,1,1,1,0.33,1,1,0.507,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,5818553
